,joystick,executed
3162,"[1.9362999201337947, 1.5259831532935253]",[1.5025782669061305]
3163,"[1.9235853548186623, 1.5159629016421172]",[1.4551633069155239]
3164,"[1.9176000356674194, 1.3734939668943955]",[1.2544442930523918]
3165,"[1.9176000356674194, 1.0480090086973968]",[1.142716888613916]
3166,"[1.9289051894312508, 0.4595318366342308]",[0.587266367632464]
3167,"[1.9382305145263672, 0.0]",[0.1937619205293955]
3168,"[1.9322775878337726, 0.0]",[0.036655491804618245]
3169,"[1.9176000356674194, -0.5225317126129662]",[-0.6901171457516282]
3170,"[1.9176000356674194, -1.3626989337301745]",[-1.2062926291515201]
3171,"[1.9373642618200813, -1.526821952833686]",[-1.3212805319491188]
3172,"[1.9382305145263672, -1.5275046399641983]",[-1.3727514709460975]
3173,"[1.9266779833753667, -1.518400178547339]",[-1.3623186388914077]
3174,"[1.9176000356674194, -1.5112459174100201]",[-1.3834343690421993]
3175,"[1.9337183779852565, -1.5239486596764857]",[-1.4116850984121643]
3176,"[1.9382305145263672, -1.5275046399641983]",[-1.404157849502237]
3177,"[1.9259597117378766, -1.517834114165008]",[-1.4187179108915324]
3178,"[1.9382305145263672, -1.5275046399641983]",[-1.4401902620280107]
3179,"[1.9382305145263672, -1.5275046399641983]",[-1.3787772551312723]
3180,"[1.9382305145263672, -0.6085536057825889]",[-0.8252788868673302]
3181,"[1.92769167375749, 0.7471966168510238]",[0.0611967610870201]
3182,"[1.9382305145263672, 1.5275046399641983]",[0.864478832082977]
3183,"[1.9382305145263672, 1.5275046399641983]",[1.3273521358818838]
3184,"[1.9382305145263672, 1.5275046399641983]",[1.4929529297683815]
3185,"[1.9382305145263672, 1.5275046399641983]",[1.5139522142920414]
3186,"[1.9382305145263672, 1.5275046399641983]",[1.5040362584526108]
3187,"[1.9382305145263672, 1.5275046399641983]",[1.5563431341841907]
3188,"[1.9382305145263672, 1.5275046399641983]",[1.5319089227448115]
3189,"[1.9382305145263672, 1.5275046399641983]",[1.5290120156564644]
3190,"[1.9176000356674194, 1.5112459174100201]",[1.5589205139953792]
3191,"[1.9176000356674194, 1.5112459174100201]",[1.5665325812909168]
3192,"[1.9382305145263672, 1.5275046399641983]",[1.5364636201261086]
3193,"[1.9382305145263672, 1.5275046399641983]",[1.5493004733463343]
3194,"[1.9382305145263672, 1.5275046399641983]",[1.5643671113546578]
3195,"[1.9382305145263672, 1.5275046399641983]",[1.5282394576019258]
3196,"[1.9212990576096187, 1.5141610883031065]",[1.5665686224134567]
3197,"[1.9335167017969097, 1.5237897202153838]",[1.5537349754158385]
3198,"[1.9273760803223938, 1.518950343410464]",[1.5412726773555299]
3199,"[1.9382305145263672, 1.5275046399641983]",[1.5652542409704493]
3200,"[1.9382305145263672, 1.5275046399641983]",[1.5464160170221042]
3201,"[1.9382305145263672, 1.5275046399641983]",[1.5566280173215707]
3202,"[1.9343461857884758, 1.5244434302031264]",[1.560681486076323]
3203,"[1.9359337647612198, 1.5256945890456899]",[1.572635304361829]
3204,"[1.9209443662391872, 1.5138815587476542]",[1.5598675247360823]
3205,"[1.9329062109402662, 1.5233085970418554]",[1.570692091532266]
3206,"[1.9217443552940976, 1.514512024001471]",[1.5595466224172834]
3207,"[1.9382305145263672, 1.5275046399641983]",[1.5025399254303222]
3208,"[1.9382305145263672, 1.5275046399641983]",[1.5972008914201778]
3209,"[1.9382305145263672, 1.5275046399641983]",[1.5939529044397973]
3210,"[1.9382305145263672, 1.5275046399641983]",[1.5650289858683255]
3211,"[1.9382305145263672, 1.5275046399641983]",[1.5564738344369902]
3212,"[1.9382305145263672, 1.5275046399641983]",[1.54704067851258]
3213,"[1.9216709985637577, 1.5144542121235094]",[1.5398054549734195]
3214,"[1.9176000356674194, 1.5112459174100201]",[1.5417625981062633]
3215,"[1.9382305145263672, 1.5275046399641983]",[1.568078816177075]
3216,"[1.9382305145263672, 1.5275046399641983]",[1.5478643041684703]
3217,"[1.9382305145263672, 1.5275046399641983]",[1.548239824795842]
3218,"[1.9382305145263672, 1.5275046399641983]",[1.5606659431732106]
3219,"[1.9209520691633282, 1.5138876293632382]",[1.5430497773850693]
3220,"[1.9378631268556301, 1.527215104551609]",[1.5618657356149828]
3221,"[1.935109535483047, 1.5250450202573713]",[1.54729449159654]
3222,"[1.9382305145263672, 1.5275046399641983]",[1.5834347913336424]
3223,"[1.9382305145263672, 1.5275046399641983]",[1.5616262579098659]
3224,"[1.9382305145263672, 1.5275046399641983]",[1.5327575583997883]
3225,"[1.9382305145263672, 1.5275046399641983]",[1.5719370440125633]
3226,"[1.9382305145263672, 1.5275046399641983]",[1.546156680012703]
3227,"[1.9246340184414497, 1.5167893454203798]",[1.5516811225551455]
3228,"[1.920732968414286, 1.5137149577391598]",[1.5232334781404386]
3229,"[1.9176000356674194, 1.5112459174100201]",[1.5616411069566873]
3230,"[1.9308344339615822, 1.5216758454551926]",[1.5411005451548514]
3231,"[1.9176000356674194, 1.5112459174100201]",[1.5202885171599916]
3232,"[1.931980096780078, 1.522578733557496]",[1.572687381433441]
3233,"[1.9382305145263672, 1.5275046399641983]",[1.5272255057159478]
3234,"[1.9382305145263672, 1.5275046399641983]",[1.5605439694600367]
3235,"[1.9176000356674194, 1.5112459174100201]",[1.554679813977825]
3236,"[1.9257269279979183, 1.517650659080471]",[1.5614563350108854]
3237,"[1.9361840871414309, 1.5258918661984298]",[1.5653266548047435]
3238,"[1.9176000356674194, 1.5112459174100201]",[1.5496532232171478]
3239,"[1.9382305145263672, 1.5275046399641983]",[1.5636433094695354]
3240,"[1.930066272213, 1.521070463057997]",[1.5373047150458228]
3241,"[1.9176000356674194, 1.5112459174100201]",[1.56079132328254]
3242,"[1.9321061851961217, 1.522678102873534]",[1.5188784195068834]
3243,"[1.9176000356674194, 1.5112459174100201]",[1.5645266025247024]
3244,"[1.9337583393767932, 1.5239801529434291]",[1.55332551077208]
3245,"[1.9218729962628873, 1.5146134049647997]",[1.538697633917564]
3246,"[1.9222470800802731, 1.5149082175593336]",[1.5772359868040997]
3247,"[1.921096994181209, 1.5140018436610734]",[1.5507610911607068]
3248,"[1.9382305145263672, 1.5275046399641983]",[1.5076304369708777]
3249,"[1.9176000356674194, 1.5112459174100201]",[1.5511411652448897]
