,joystick,executed
107,"[4.073935772964899, 0.8080190263095317]",[0.8665386912011507]
108,"[4.073935772964899, 1.381595002454416]",[0.9110279009885308]
109,"[4.073935772964899, 0.0]",[0.9203097019572297]
110,"[4.073935772964899, 0.0]",[0.8571925048505346]
111,"[4.073935772964899, 0.0]",[0.8711237860707421]
112,"[4.073935772964899, 0.0]",[0.8834711761960308]
113,"[4.073935772964899, 0.0]",[0.8687860660925343]
114,"[4.073935772964899, 0.0]",[0.9233041453343073]
115,"[4.073935772964899, 0.0]",[0.8851317208123897]
116,"[4.073935772964899, 0.0]",[0.8683536230081581]
117,"[4.073935772964899, 0.0]",[0.8854463133251516]
118,"[4.073935772964899, 0.0]",[0.9111961431201536]
119,"[4.073935772964899, 0.0]",[0.5121948787802162]
120,"[4.073935772964899, 0.0]",[0.1958112566410183]
121,"[4.073935772964899, 0.0]",[0.19098437005280938]
122,"[4.073935772964899, 0.0]",[0.20252419502325206]
123,"[4.073935772964899, 0.0]",[0.1867401952956944]
124,"[4.073935772964899, 0.0]",[0.15814836979628613]
125,"[4.073935772964899, 0.0]",[0.14897977547686708]
126,"[4.073935772964899, 0.0]",[0.14505312715401503]
127,"[4.073935772964899, 0.0]",[0.19840221195665378]
128,"[4.073935772964899, 0.0]",[0.12046770044170517]
129,"[4.073935772964899, 0.0]",[0.0625688146182639]
130,"[4.073935772964899, 0.0]",[0.06881538981292967]
131,"[4.073935772964899, 0.0]",[0.06324090856532247]
132,"[4.073935772964899, 0.0]",[0.06571950963741895]
133,"[4.073935772964899, 0.0]",[-0.1040800715753215]
134,"[4.073935772964899, 0.0]",[-0.8773473943484038]
135,"[4.073935772964899, 0.0]",[-1.3752925560854055]
136,"[4.073935772964899, 0.0]",[-1.6088541111201944]
137,"[4.073935772964899, 0.0]",[-1.6124280293748494]
138,"[4.073935772964899, 0.0]",[-1.5459384994662397]
139,"[4.073935772964899, 0.0]",[-1.548876010167142]
140,"[4.073935772964899, 0.0]",[-1.5819766371017596]
141,"[4.073935772964899, 0.0]",[-1.1382231232132154]
142,"[4.073935772964899, 0.0]",[-0.5010840381544919]
143,"[4.073935772964899, 1.76735483944116]",[-0.07912808279091374]
144,"[4.073935772964899, 3.210637614814706]",[0.14174265039136036]
145,"[4.073935772964899, 3.210637614814706]",[0.7994505425794823]
146,"[4.073935772964899, 3.210637614814706]",[1.5265936395079678]
147,"[4.073935772964899, 3.210637614814706]",[1.6591799687343862]
148,"[4.073935772964899, 3.210637614814706]",[1.6004913332923474]
149,"[4.073935772964899, 3.210637614814706]",[1.547548530944756]
150,"[4.073935772964899, 3.210637614814706]",[1.5042464028269331]
151,"[4.073935772964899, 3.210637614814706]",[1.4811662554454537]
152,"[4.073935772964899, 3.210637614814706]",[1.4814867464767199]
153,"[4.073935772964899, 3.210637614814706]",[1.358616186027771]
154,"[4.073935772964899, 3.210637614814706]",[1.239903018317333]
155,"[4.073935772964899, 3.210637614814706]",[1.2968061295865816]
