,joystick,executed
0,"[0.0, -0.0]",[-0.0008854698389768]
1,"[0.0, -0.0]",[-0.0008854698389768]
2,"[0.0, -0.0]",[-0.0008854698389768]
3,"[0.0, -0.0]",[-0.0008854698389768]
4,"[0.0, -0.0]",[-0.0008854698389768]
5,"[0.0, -0.0]",[-0.0008854698389768]
6,"[0.0, -0.0]",[-0.0008854698389768]
7,"[0.0, -0.0]",[-0.0008854698389768]
8,"[0.0, -0.0]",[-0.0008854698389768]
9,"[0.0, -0.0]",[-0.0008854698389768]
10,"[0.0, -0.0]",[-0.0008854698389768]
11,"[0.0, -0.0]",[-0.0008854698389768]
12,"[0.0, -0.0]",[-0.0008854698389768]
13,"[0.0, -0.0]",[-5.1121765987506714e-05]
14,"[0.0, -0.0]",[-0.00033086536791534073]
15,"[0.0, -0.0]",[-0.0008353325326949542]
16,"[0.0, 0.0]",[-0.0011549030830212963]
17,"[0.0, 0.0]",[-0.0001670096918477171]
18,"[0.0, 0.0]",[-0.0003688969700343213]
19,"[0.0, 0.0]",[-0.002010114486944583]
20,"[0.0, 0.0]",[-6.118033314894125e-05]
21,"[0.0, 0.0]",[-0.0005285058173187682]
22,"[0.0, 0.0]",[0.00016345848639329284]
23,"[0.0, 0.0]",[0.0001732776079784881]
24,"[0.0, 0.0]",[-0.0005627031441580571]
25,"[0.0, 0.0]",[-0.000280862467926373]
26,"[0.0, 0.0]",[0.0002499700799479654]
27,"[0.0, 0.0]",[0.0003938057993556193]
28,"[0.0, 0.0]",[8.982157376472045e-05]
29,"[0.0, 0.0]",[0.0014799418003994206]
30,"[0.1959249079153823, 0.0]",[0.002293115130641638]
31,"[0.8173441197986149, 0.0]",[-0.0009420107362575646]
32,"[1.0, 0.0]",[-0.002566712663101699]
33,"[1.0, 0.0]",[-0.004029323554702704]
34,"[1.0, 0.0]",[0.0002878096658719244]
35,"[1.0, 0.0]",[0.008797377611179685]
36,"[1.0, 0.0]",[-0.009241391054102243]
37,"[1.0, 0.0]",[-0.003892544626403022]
38,"[1.0, 0.0]",[-0.015590362282986927]
39,"[1.0, 0.0]",[-0.017769097139365107]
40,"[1.0, 0.0]",[-0.028587577619073434]
41,"[1.0, 0.0]",[0.006589745383624555]
42,"[1.0, 0.0]",[-0.039515200573520114]
43,"[1.0, 0.0]",[-0.03016356984391242]
44,"[1.0, 0.0]",[-0.033001130351279585]
45,"[1.0, 0.0]",[-0.023386390147819167]
46,"[1.0, 0.0]",[-0.011106963959431776]
47,"[1.0, 0.0]",[-0.030347214715093853]
48,"[1.0, 0.0]",[-0.03619840846978594]
49,"[1.0, 0.0]",[-0.022169078195626517]
50,"[1.0, 0.0]",[-0.028183433448189257]
51,"[1.0, 0.0]",[-0.02881374574104223]
52,"[1.0, 0.0]",[-0.03022700134959589]
53,"[1.0, 0.0]",[-0.027272312449481778]
54,"[1.0, 0.0]",[-0.008499484176499476]
55,"[1.0, 0.0]",[-0.0013759017253826087]
56,"[1.0, 0.0]",[-0.026854526342586355]
57,"[1.0, 0.0]",[-0.041993769951280575]
58,"[1.3735849799489643, 0.0]",[-0.025718929491910847]
59,"[1.827898030856826, 0.0]",[-0.07436549029703735]
60,"[2.0, 0.0]",[-0.03359595427715424]
61,"[2.0, 0.0]",[-0.013597704024198166]
62,"[2.0, 0.0]",[-0.04201055136449069]
63,"[2.0, 0.0]",[-0.044230981916477716]
64,"[2.0, 0.0]",[-0.0405695849370324]
65,"[2.0, 0.0]",[-0.052665782808450794]
66,"[2.0, -1.068581254619696]",[-0.7527580169826653]
67,"[2.0, -1.5761846988952857]",[-1.2500749905203212]
68,"[2.0, -1.5761846988952857]",[-1.4366578789797464]
69,"[2.0, -1.5761846988952857]",[-1.465715432358318]
70,"[2.0, -1.5761846988952857]",[-1.4676399308101502]
71,"[2.0, -1.5761846988952857]",[-1.4984998906145928]
72,"[2.0, -1.5761846988952857]",[-1.4952971506844455]
73,"[2.0, -1.5761846988952857]",[-1.4714940360831896]
74,"[2.0, -1.5761846988952857]",[-1.5011518393637755]
75,"[2.0, -1.5761846988952857]",[-1.486113970493476]
76,"[2.0, -1.5761846988952857]",[-1.485896928900996]
77,"[2.0, -1.5761846988952857]",[-1.4843356483600325]
78,"[2.0, -1.5761846988952857]",[-1.479272986118866]
79,"[2.0, -1.5761846988952857]",[-1.507219979081125]
80,"[2.0, -1.5761846988952857]",[-1.482788853320177]
81,"[2.0, -1.5761846988952857]",[-1.4863792916747764]
82,"[2.0, -1.5761846988952857]",[-1.5091514097040157]
83,"[2.0, -1.5761846988952857]",[-1.469215913303804]
84,"[2.0, -1.5761846988952857]",[-1.4787993654909446]
85,"[2.0, -1.5761846988952857]",[-1.4947776596965583]
86,"[2.0, -1.5761846988952857]",[-1.4623970340243442]
87,"[2.0, -1.5761846988952857]",[-1.4831758239237944]
88,"[2.0, -1.5761846988952857]",[-1.4924227760595021]
89,"[2.0, -1.5761846988952857]",[-1.4677924545837018]
90,"[2.0, -1.5761846988952857]",[-1.457254933986271]
91,"[2.0, -1.5761846988952857]",[-1.4728812481759999]
92,"[2.0, -1.5761846988952857]",[-1.4778990324455217]
93,"[2.0, -1.5761846988952857]",[-1.4740930611461136]
