,joystick,executed
4013,"[3.0, -2.3642770483429287]",[-1.6811109787798573]
4014,"[3.0, -2.3642770483429287]",[-1.6402098831293144]
4015,"[3.0, -2.2838315530979436]",[-1.2264894246563156]
4016,"[3.0, -0.6932127556142408]",[-0.33476928117339627]
4017,"[3.0, 0.7342892742918887]",[-0.02691504885748875]
4018,"[3.0, 0.0]",[-0.05737338724881936]
4019,"[3.0, 0.0]",[-0.012447752313344992]
4020,"[2.7242904899456133, 0.0]",[0.017254749180097152]
4021,"[2.1252841472620445, 0.0]",[0.0405826897536254]
4022,"[1.6759770553390343, 0.0]",[0.005528386589447803]
4023,"[1.2244833316619121, 0.0]",[0.00740637584571463]
4024,"[0.7769178420031495, 0.0]",[-0.009017634903167702]
4025,"[0.32483273251622236, 0.0]",[0.009557382273351341]
4026,"[1.3047967911431432e-16, 0.0]",[0.022359589614924645]
4027,"[0.0, 0.0]",[-0.004747954279342345]
4028,"[0.0, 0.0]",[0.012900084888758758]
4029,"[0.0, 0.0]",[-0.02720278370260919]
4030,"[-0.05539184099469076, 0.025298094140224877]",[-0.01970861618585032]
4031,"[-0.3538978184277025, 0.19735062810045978]",[0.2565707970905641]
4032,"[-1.0171283274648675, 0.8015910532815388]",[0.6559899212688889]
4033,"[-1.446621543017339, 1.140071370598109]",[0.9464336916242916]
4034,"[-1.9145734082775434, 1.5088606555194302]",[1.4270333852453385]
4035,"[-2.3542897857676266, 1.8553977685461964]",[1.5608390183032959]
4036,"[-2.8137303594918714, 2.2174793697241095]",[1.7638986904334844]
4037,"[-3.0, 2.3642770483429287]",[1.8063333364707315]
4038,"[-3.0, 2.3642770483429287]",[1.9061197407395694]
4039,"[-3.0, 2.3642770483429287]",[1.804666734852271]
4040,"[-3.0, 2.3642770483429287]",[1.60546865070605]
4041,"[-3.0, 2.3642770483429287]",[1.446037016803657]
4042,"[-3.0, 2.3642770483429287]",[1.2754819267737165]
4043,"[-3.0, 2.3642770483429287]",[1.3045881938236343]
4044,"[-3.0, 2.3642770483429287]",[1.3554330865324242]
4045,"[-3.0, 2.3642770483429287]",[1.5320542859264332]
4046,"[-3.0, 2.3642770483429287]",[1.5280148056357143]
4047,"[-3.0, 2.3642770483429287]",[1.3828405443195866]
4048,"[-3.0, 0.4019368061354137]",[1.2522538780328796]
4049,"[-2.815796747555383, -2.2191078743479533]",[1.0177523876501005]
4050,"[-2.3182550612863246, -1.8125019463704652]",[0.8121248032106178]
4051,"[-1.9367005874000343, -0.7298855180002564]",[0.49727249162693354]
4052,"[-1.3834252357172496, 0.0]",[0.22855091818793305]
4053,"[-0.9332082197074925, 0.0]",[0.05158825829718856]
4054,"[-0.4835945903532147, 0.0]",[0.057264180656793756]
4055,"[-0.03341962224102596, 0.0]",[0.04772497380457656]
4056,"[0.4145563063389976, 0.0]",[0.027585476312171175]
4057,"[0.8632441058304696, 0.0]",[0.0020491377577107994]
4058,"[1.0, 0.0]",[0.0024366803883248793]
4059,"[1.0, 0.0]",[-0.012268764539819892]
4060,"[1.0, 0.0]",[0.0022847007918888086]
4061,"[1.0, 0.0]",[0.0006040116290610858]
4062,"[1.0, 0.0]",[0.0012293074561315694]
4063,"[1.0, 0.0]",[5.741424866275547e-05]
4064,"[1.0, 0.0]",[-0.00016898605130993678]
4065,"[1.0, 0.0]",[-0.0011116419093665716]
4066,"[1.181664573666887, -0.6203966629143451]",[-0.014663953004624045]
4067,"[1.622189545145449, -1.27843516988308]",[-0.18514394557239586]
4068,"[1.9457675490732107, -1.533444519228088]",[-0.09061874039641113]
4069,"[2.3989990332710205, -1.890632784453182]",[-0.12606734685567206]
4070,"[2.7283482680938316, -2.1501903967134752]",[-0.10306975324802195]
4071,"[3.0, -2.3642770483429287]",[-0.10429563165315313]
4072,"[3.0, -2.3642770483429287]",[-0.07451039217763844]
4073,"[3.0, -2.3642770483429287]",[-0.07940378718662144]
4074,"[3.0, -2.3642770483429287]",[-0.056147675226050735]
4075,"[3.0, -1.2803084692626334]",[-0.017860186836890342]
4076,"[3.0, -0.9356938671877668]",[-0.07615388489941072]
4077,"[3.0, -2.3642770483429287]",[-0.04006244838133133]
4078,"[3.0, -2.3642770483429287]",[-0.03667597509013344]
4079,"[3.0, -2.3642770483429287]",[-0.028549632060205825]
4080,"[3.0, -2.3642770483429287]",[-0.015742156254033364]
4081,"[3.0, -2.278594582353512]",[0.04030293282136647]
4082,"[3.0, -0.655283014098953]",[0.12049138045949401]
4083,"[3.0, 1.8559549038414698]",[0.19507426158645305]
4084,"[3.0, 2.3642770483429287]",[0.11547183486628171]
4085,"[3.0, 2.3642770483429287]",[0.11744139613696783]
4086,"[3.0, 2.3642770483429287]",[0.10353040728511459]
4087,"[3.0, 2.3642770483429287]",[0.08171475932866398]
4088,"[3.0, 2.3642770483429287]",[0.07356359060425134]
4089,"[3.0, 2.3642770483429287]",[0.04951550856598168]
4090,"[3.0, 2.3642770483429287]",[0.038281446654506945]
4091,"[3.0, 2.3642770483429287]",[0.024911771080991855]
4092,"[3.0, 2.3642770483429287]",[0.013131099527555274]
4093,"[3.0, 2.3642770483429287]",[0.057972533365547994]
4094,"[3.0, 2.3642770483429287]",[0.14010524107981992]
4095,"[3.0, 2.3642770483429287]",[0.16188616373825238]
4096,"[3.0, 2.3642770483429287]",[0.14443584950516702]
4097,"[3.0, 2.3642770483429287]",[0.1446353594744928]
4098,"[3.0, 2.3642770483429287]",[0.11306716040179554]
4099,"[3.0, 2.3642770483429287]",[0.10185703484227857]
4100,"[3.0, 2.3289323919670797]",[0.08234742611175094]
4101,"[3.0, 2.326865409390194]",[0.05784135770967846]
4102,"[3.0, 2.3424047578748395]",[0.03958419201482046]
4103,"[3.0, 2.3642770483429287]",[0.030237490590215396]
4104,"[3.0, 2.3642770483429287]",[0.016712576325800088]
4105,"[3.0, 2.3642770483429287]",[0.0068610242310572]
4106,"[2.7492663937061277, 2.16667581147331]",[0.018158430191810234]
4107,"[2.1272796190529752, 1.6764927929115458]",[0.09675991619392062]
4108,"[2.446379299260765, 1.9279728095944941]",[0.15919971399796679]
4109,"[2.9481513285193524, 2.3234155070200058]",[0.15850917943770232]
4110,"[3.0, 2.3642770483429287]",[0.1439174257365169]
4111,"[3.0, 2.3642770483429287]",[0.13682181873455024]
4112,"[3.0, 2.3642770483429287]",[0.11307984416425265]
4113,"[3.0, 2.3642770483429287]",[0.07932322028486534]
4114,"[3.0, 2.3642770483429287]",[0.05025256798682725]
4115,"[3.0, 2.3642770483429287]",[0.03286378315064165]
4116,"[3.0, 2.3642770483429287]",[0.016489118417665427]
4117,"[3.0, 2.3642770483429287]",[0.007874951403086944]
4118,"[3.0, 2.3642770483429287]",[0.00023949039028845398]
4119,"[3.0, 2.3642770483429287]",[0.06678258593410158]
4120,"[3.0, 2.3642770483429287]",[0.15404882936622477]
4121,"[3.0, 2.3642770483429287]",[0.18473464266851167]
4122,"[3.0, 2.3642770483429287]",[0.16279509983057783]
4123,"[2.914811508432588, 1.6929130636903025]",[0.14165797491309925]
4124,"[2.7780231812340683, 0.6148947221013603]",[-0.08053111341836836]
4125,"[2.3033302563374285, -0.13253321392322387]",[-0.010559116699353666]
4126,"[1.8485416254042661, -0.04056374291330819]",[0.018805617960494764]
4127,"[1.3642695901880098, 0.0]",[-0.007711543587772296]
4128,"[0.9751021700703756, 0.0]",[-0.0030458422224846557]
4129,"[0.5576461515022525, 0.23115748099782926]",[0.016574488680267053]
4130,"[0.04843890323304917, 0.03817432905360074]",[0.16133484559777084]
4131,"[-0.44178194427407547, -0.34816497040650374]",[0.10044913685389871]
4132,"[-0.9177861147759221, -0.7233002154841803]",[0.16142161107934122]
4133,"[-1.3489283595726744, -1.0630801201321838]",[0.11506766450082792]
4134,"[-1.7941766894921227, -1.3680838579488783]",[-0.07230235814578906]
4135,"[-1.6623477717896926, -0.22525688169914937]",[-0.11554638595338168]
4136,"[-1.5305188540871875, 0.9175700945512291]",[-0.3041013903190354]
4137,"[-0.91763117539136, 0.7231781089405789]",[-0.14804379092268577]
4138,"[-0.47647340343785227, 0.37550504396465156]",[-0.21149428341396198]
4139,"[-0.06288614557219643, 0.0495600902116988]",[-0.3109274830612815]
4140,"[0.46113900868435076, -0.36342012477600694]",[-0.5204364823270318]
4141,"[0.8874176396998432, -0.6484664662742345]",[-0.735656873834349]
4142,"[1.351935521084303, -0.9001504636956174]",[-0.932622628611036]
4143,"[1.7025551478263627, -0.9371044537920237]",[-0.947673110436114]
4144,"[1.991676301635604, -0.34994102071943145]",[-0.6196970816266855]
