,joystick,executed
0,"[0.0, -0.0]",[0.0007335245609283]
1,"[0.0, -0.0]",[-0.0002470654624184994]
2,"[0.0, -0.0]",[-0.0003907235061797775]
3,"[0.0, -0.0]",[0.00011316039562793911]
4,"[0.0, 0.0]",[0.00013237806605795397]
5,"[0.0, 0.0]",[-0.00042041475679532013]
6,"[0.0, 0.0]",[-0.00029748755346816716]
7,"[0.0, 0.0]",[-0.0013901836654092393]
8,"[0.057917498086755725, 0.0]",[0.009674378120040919]
9,"[0.20561188605984354, 0.0]",[0.008104300678790186]
10,"[0.7164210694461085, 0.0]",[0.018401944366878288]
11,"[0.9895656141631686, 0.0]",[0.0018180703084153945]
12,"[1.0, 0.0]",[0.037772672713340956]
13,"[1.0, 0.0]",[0.027669058557211135]
14,"[0.6142313942151437, 0.0]",[-0.006917579957452979]
15,"[0.11009047571328345, 0.0]",[8.094643198663931e-05]
16,"[0.0, 0.0]",[-0.00717407526263358]
17,"[0.0, 0.0]",[0.004895447627657678]
18,"[0.0, 0.0]",[0.003511014331069733]
19,"[0.0, 0.0]",[0.0012706200910037912]
20,"[0.0, 0.0]",[-0.0005701596650825485]
21,"[0.0, 0.0]",[-0.0007201101744773871]
22,"[0.0, 0.0]",[-0.0009613182822289338]
23,"[0.0, 0.0]",[-0.0018163355302173018]
24,"[0.0, 0.0]",[-0.0024596674785432033]
25,"[0.0, 0.0]",[-0.0015761132649313766]
26,"[0.0, 0.0]",[-0.0008477763065633894]
27,"[0.0, 0.0]",[-0.0005981383034362153]
28,"[0.0, 0.0]",[0.0004903741100387623]
29,"[0.0, 0.0]",[0.0012050354354613308]
30,"[0.0, 0.0]",[-2.97749801910747e-05]
31,"[0.0, 0.0]",[0.0005394272406826204]
32,"[0.0, 0.0]",[0.0003248455115974631]
33,"[0.0, 0.0]",[-0.000273345371552905]
34,"[0.0, 0.0]",[-0.00038474964526528065]
35,"[0.0, 0.0]",[-0.0002081834522348235]
36,"[0.0, 0.0]",[0.000480563456477438]
37,"[0.0, 0.0]",[0.0006762387112785396]
38,"[0.0, 0.0]",[-0.00024343891674994712]
39,"[0.0, 0.0]",[-0.0001257099906120376]
40,"[0.0, 0.0]",[-0.00019534220639932324]
41,"[0.0, 0.0]",[0.0008395769204012839]
42,"[0.0, 0.0]",[0.00033660050377833767]
43,"[0.0, 0.0]",[-8.888950496792e-05]
