,joystick,executed
32251,"[1.0, 0.7880923494476428]",[0.8797532664461928]
32252,"[1.0, 0.7880923494476428]",[0.8872320784418918]
32253,"[1.0, 0.7880923494476428]",[0.8752143439629586]
32254,"[1.0, 0.7880923494476428]",[0.86152648378738]
32255,"[1.0, 0.7880923494476428]",[0.8728998147531509]
32256,"[1.0, 0.7880923494476428]",[0.9520614740323224]
32257,"[1.0, 0.7880923494476428]",[1.0586443559114405]
32258,"[1.0, 0.7880923494476428]",[1.1772540266641198]
32259,"[1.2552102013934077, 0.9892215566667795]",[1.3276133292466867]
32260,"[1.710301188770507, 1.3478752821212452]",[1.354399005487631]
32261,"[2.160115658742895, 1.7023706245773307]",[1.4332900127459236]
32262,"[2.393233958510222, 1.886089373140203]",[1.4311478122767063]
32263,"[1.9387283186802298, 1.5278969556093807]",[1.2302151801910937]
32264,"[1.4887724464875738, 1.1732901751453069]",[1.1355002060304318]
32265,"[1.0381795181496845, 0.8181813356070066]",[1.0786494734627394]
32266,"[1.0, 0.7880923494476428]",[1.1426480237303118]
32267,"[1.143909634295493, 0.901506431247729]",[1.2554782565209028]
32268,"[1.650339503249017, 1.3006199365017732]",[1.296419709311965]
32269,"[2.1599152548397877, 1.7022126877944923]",[1.451908214923663]
32270,"[2.6075395300079665, 2.0549819544815806]",[1.579193375706711]
32271,"[3.0617552042597684, 2.4129458523586287]",[1.7296498451519753]
32272,"[3.4916561670309556, 2.751747512138777]",[1.8793258781303757]
32273,"[3.960731946723117, 3.1214225454253572]",[1.9795666513806585]
32274,"[4.073935772964899, 3.210637614814706]",[2.0376433280470327]
32275,"[4.073935772964899, 3.210637614814706]",[2.0462043725970145]
32276,"[4.073935772964899, 3.210637614814706]",[2.003160531242947]
32277,"[4.073935772964899, 3.210637614814706]",[1.848227137368442]
32278,"[4.073935772964899, 3.210637614814706]",[1.6947074209411994]
32279,"[4.073935772964899, 3.210637614814706]",[1.5583026256701737]
32280,"[4.073935772964899, 3.210637614814706]",[1.4344255392404799]
32281,"[4.073935772964899, 3.210637614814706]",[1.5054601840472608]
32282,"[4.073935772964899, 3.210637614814706]",[1.5170695933973883]
32283,"[4.073935772964899, 3.210637614814706]",[1.3511311866381308]
32284,"[4.073935772964899, 3.210637614814706]",[1.1477221671795512]
32285,"[4.073935772964899, 3.210637614814706]",[1.0499434681450692]
32286,"[4.073935772964899, 3.210637614814706]",[1.0609302972819785]
32287,"[4.073935772964899, 1.0978453231821979]",[0.43871766183093336]
32288,"[4.073935772964899, -3.210637614814706]",[-0.7684310924327671]
32289,"[3.6638527391890627, -2.8874543132576904]",[-1.8882144231759308]
32290,"[3.2193774123173946, -2.537166708631888]",[-2.059645027902111]
32291,"[2.791504759392172, -2.1999635443236536]",[-2.156971122326138]
32292,"[2.3809668774785755, -1.8764217804291083]",[-2.0988420556129297]
32293,"[1.8606811304709938, -1.4663885636857814]",[-2.132594037921528]
32294,"[1.40706625420882, -1.1088981501079231]",[-2.0778971121971592]
32295,"[1.0509136601331428, -0.8282170154809501]",[-1.8599631408542736]
32296,"[1.0, -0.7880923494476428]",[-1.820222270022768]
32297,"[1.0, -0.7880923494476428]",[-1.7291200436821628]
32298,"[1.0, -0.7880923494476428]",[-1.4808009775827735]
32299,"[1.453331109209324, -1.1453591283821247]",[-1.2600551390736543]
32300,"[1.8835216767613323, -1.484389023474402]",[-1.0007331604316179]
32301,"[2.3548927084599907, -1.8558729273073569]",[-0.9127750463991913]
32302,"[2.7954283276743146, -2.1730315119355614]",[-0.28641059593063345]
32303,"[2.3903368525953943, 0.6337810415634052]",[0.5242876347936724]
32304,"[1.8940695003899295, 1.4927016825794226]",[0.9577765025440294]
32305,"[1.4444778439270307, 1.138381937745519]",[1.023892684807959]
32306,"[1.0, 0.7880923494476428]",[0.9564840958759692]
32307,"[1.0, 0.7880923494476428]",[0.970237826266177]
32308,"[1.0, 0.7880923494476428]",[1.0748471709351852]
32309,"[1.0428092036823677, 0.8218299553556627]",[1.163383857156377]
32310,"[1.606426715716198, 1.2660126046042388]",[1.2190552135419075]
32311,"[2.056824071222603, 1.6209673146902872]",[1.2116802450519324]
32312,"[2.496276459573881, 1.9672963798964236]",[1.1461296879635408]
32313,"[2.123032114850629, 1.6731453673454297]",[0.8767367255469689]
32314,"[1.5977976713327229, 1.2516910211234265]",[0.22293697798532708]
32315,"[1.3626338236118105, 0.26325993176064477]",[0.3559390593055233]
32316,"[1.0, 0.5248013386556346]",[0.7321810337665673]
32317,"[1.0, 0.7880923494476428]",[0.7766040262113715]
32318,"[1.0, 0.7880923494476428]",[0.6425632109747929]
32319,"[1.0, 0.7880923494476428]",[0.11676914540114747]
32320,"[1.0, 0.3163488450501512]",[-0.39580159704954354]
32321,"[1.0, -0.7880923494476428]",[-0.8345209490113]
32322,"[1.3051058130579067, -1.028543906490582]",[-0.9217583035464995]
32323,"[1.7557882863708871, -1.383723315738683]",[-0.920394926091942]
32324,"[1.6659292278603466, -1.3129060791979579]",[-0.8728539054308547]
32325,"[1.168177982860805, -0.92063213108578]",[-0.7013144890061888]
32326,"[1.0, -0.054996973937225024]",[-0.06249282338418616]
32327,"[1.0, 0.7880923494476428]",[0.4637345266449955]
32328,"[1.0, 0.7880923494476428]",[0.838081191266005]
32329,"[1.0, 0.7880923494476428]",[0.9090735340360163]
32330,"[1.0, 0.7880923494476428]",[1.0532875634065637]
32331,"[1.3262081003102462, 1.045174457629997]",[1.1739555738400218]
32332,"[1.8460661962181535, 1.4548706458134377]",[1.3719586861559725]
32333,"[2.348884982836247, 1.851138284705704]",[1.4681686425094869]
32334,"[2.804317667626491, 2.2100612992772954]",[1.5935095554652345]
32335,"[3.131260711045966, 2.467722610501312]",[1.5968707348079698]
32336,"[3.191849661840289, 2.515472299083378]",[1.443796846233541]
32337,"[2.6472715810522747, 2.086294479937463]",[1.2332225468881948]
32338,"[2.19581430493897, 1.7305044545300954]",[1.0845622341679804]
32339,"[1.7542485363701983, 1.3825098505430782]",[1.0619757445575513]
32340,"[1.2945095972993126, 1.0201931099181372]",[1.1708111818443783]
32341,"[1.1227177804051671, 0.8848052933261509]",[1.1886911374503617]
32342,"[1.6052949186738301, 1.2651206440140212]",[1.207393070272513]
32343,"[2.0333919643592586, 1.6025006505398456]",[1.2609806065490408]
32344,"[2.4936102653626486, 1.9651951726364096]",[1.1535309060226286]
32345,"[2.045277124670158, 1.6118672544528243]",[1.0302916445924704]
32346,"[1.606268070774565, 1.2658875777394594]",[1.0278499209575385]
32347,"[1.1440535132350715, 0.9016198211392574]",[0.9286166788007418]
32348,"[1.0, 0.7880923494476428]",[0.8960648735478223]
32349,"[1.0, 0.7880923494476428]",[0.9213953182925452]
32350,"[1.0, 0.7880923494476428]",[1.054177503141807]
