,joystick,executed
0,"[0.0, -0.0]",[-0.0006546340882778]
1,"[0.0, -0.0]",[-0.0006546340882778]
2,"[0.0, -0.0]",[-0.0006546340882778]
3,"[0.0, -0.0]",[-0.0006546340882778]
4,"[0.0, -0.0]",[-0.0007020841011846034]
5,"[0.0, -0.0]",[-0.000868448647845124]
6,"[0.0, -0.0]",[-0.0011173114010601557]
7,"[0.0, -0.0]",[-0.0010667211704578692]
8,"[0.0, 0.0]",[-0.0010828118459897933]
9,"[0.0, 0.0]",[-0.0007096496377399979]
10,"[0.0, 0.0]",[0.00052924363348769]
11,"[0.0, 0.0]",[-0.0012804634631606768]
12,"[0.0, 0.0]",[-0.0009784404582181606]
13,"[0.0, 0.0]",[-0.0013177807673841794]
14,"[0.0, 0.0]",[-0.0002868595092596042]
15,"[0.0, 0.0]",[-0.0004171447760798548]
16,"[0.0, 0.0]",[0.00032151680159449856]
17,"[0.0, 0.0]",[-0.001219031982063482]
18,"[0.0, 0.0]",[-0.001286918369317712]
19,"[0.0, 0.0]",[-0.000829664777109527]
20,"[0.0, 0.0]",[-0.0008317126664152512]
21,"[0.0, 0.0]",[-0.00033937155932710903]
22,"[0.0, 0.0]",[-0.001071445467053711]
23,"[0.0, 0.0]",[-0.0004565791977894995]
24,"[0.0, 0.0]",[-0.0007974093078677072]
25,"[0.0, 0.0]",[-0.0007835488170389049]
26,"[0.0, 0.0]",[-0.0008563587122257875]
27,"[0.0, 0.0]",[-0.0014637027884429842]
28,"[0.0, 0.0]",[-0.0006448456024840102]
29,"[0.0, 0.0]",[-0.0017499448408824635]
30,"[0.0, 0.0]",[-0.001394608056801793]
31,"[0.0, 0.0]",[-0.0012713447662856042]
32,"[0.0, 0.0]",[-0.0009902917331210805]
33,"[0.0, 0.0]",[-0.005572776090419153]
34,"[0.0, 0.0]",[-0.009353424032395297]
35,"[0.08658464944434466, 0.0]",[0.003391326544702612]
36,"[0.5592590161244009, 0.0]",[0.0007611103675909713]
37,"[0.9425365417480912, 0.0]",[0.0003580880502696581]
38,"[1.0, 0.0]",[2.189298391022188e-05]
39,"[1.0, 0.0]",[0.0063798925292689]
40,"[1.0, 0.0]",[-0.004809918033744084]
41,"[1.0, 0.0]",[-0.005708506071347805]
42,"[1.0, 0.0]",[-1.046522194309528e-05]
43,"[1.0, 0.0]",[-0.000628591704035568]
44,"[1.0, 0.0]",[-0.008124271713661828]
45,"[1.0, 0.0]",[0.007711672353934053]
46,"[1.0, 0.0]",[0.0026357448403568256]
47,"[1.0, 0.0]",[0.0003035209945962095]
48,"[1.0, 0.0]",[-0.2255382749515782]
49,"[1.0, -0.19561576321575425]",[-0.4330954637293824]
50,"[1.0, -0.4854755375847386]",[-0.33500249756949807]
51,"[1.0, 0.0]",[-0.10852648075145785]
52,"[1.0, 0.0]",[-0.08604366795128662]
53,"[1.0, 0.0]",[-0.06728457150755508]
54,"[1.0, 0.0]",[-0.06446710868739912]
55,"[1.0, 0.0]",[-0.06384545009362629]
56,"[1.0, 0.0]",[-0.06925326610258095]
57,"[1.0, 0.0]",[-0.07240177627673085]
58,"[1.0, 0.0]",[-0.07368987575095642]
59,"[1.0, 0.0]",[-0.06972940025006209]
60,"[1.0, 0.0]",[-0.08191010508112191]
