rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,axes,buttons
1682285407435254375,,58091,,1682285407,434101477,"""joystick""","[-1.0, 0.0, -1.0, -0.3505356013774872, -1.0, -1.0, 0.0, 0.0]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1682285407468121919,,58092,,1682285407,465597883,"""joystick""","[-1.0, 0.0, -1.0, -0.3402203321456909, -1.0, -1.0, 0.0, 0.0]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1682285407500264886,,58093,,1682285407,499139188,"""joystick""","[-1.0, 0.0, -1.0, -0.3402203321456909, -1.0, -1.0, 0.0, 0.0]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1682285407534153872,,58094,,1682285407,533205326,"""joystick""","[-1.0, 0.0, -1.0, -0.3505356013774872, -1.0, -1.0, 0.0, 0.0]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1682285407569364844,,58095,,1682285407,567017064,"""joystick""","[-1.0, 0.0, -1.0, -0.3505356013774872, -1.0, -1.0, 0.0, 0.0]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1682285407604240903,,58096,,1682285407,602753893,"""joystick""","[-1.0, 0.0, -1.0, -0.3505356013774872, -1.0, -1.0, 0.0, 0.0]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1682285407633248441,,58097,,1682285407,630439956,"""joystick""","[-1.0, 0.0, -1.0, -0.3402203321456909, -1.0, -1.0, 0.0, 0.0]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1682285407673810078,,58098,,1682285407,671516218,"""joystick""","[-1.0, 0.0, -1.0, -0.3402203321456909, -1.0, -1.0, 0.0, 0.0]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1682285407699070089,,58099,,1682285407,696719205,"""joystick""","[-1.0, 0.0, -1.0, -0.3402203321456909, -1.0, -1.0, 0.0, 0.0]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1682285407736256777,,58100,,1682285407,734154853,"""joystick""","[-1.0, 0.0, -1.0, -0.3505356013774872, -1.0, -1.0, 0.0, 0.0]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1682285407773099272,,58101,,1682285407,770440611,"""joystick""","[-1.0, 0.0, -1.0, -0.3505356013774872, -1.0, -1.0, 0.0, 0.0]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1682285407800772759,,58102,,1682285407,799195444,"""joystick""","[-1.0, 0.0, -1.0, -0.3505356013774872, -1.0, -1.0, 0.0, 0.0]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1682285407835576402,,58103,,1682285407,831643276,"""joystick""","[-1.0, 0.0, -1.0, -0.3505356013774872, -1.0, -1.0, 0.0, 0.0]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1682285407867710441,,58104,,1682285407,864437828,"""joystick""","[-1.0, 0.0, -1.0, -0.3402203321456909, -1.0, -1.0, 0.0, 0.0]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1682285407900498721,,58105,,1682285407,897889149,"""joystick""","[-1.0, 0.0, -1.0, -0.3505356013774872, -1.0, -1.0, 0.0, 0.0]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1682285407933527546,,58106,,1682285407,931892151,"""joystick""","[-1.0, 0.0, -1.0, -0.3402203321456909, -1.0, -1.0, 0.0, 0.0]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1682285407972066587,,58107,,1682285407,970314008,"""joystick""","[-1.0, 0.0, -1.0, -0.3402203321456909, -1.0, -1.0, 0.0, 0.0]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1682285408012199328,,58108,,1682285408,10237884,"""joystick""","[-1.0, 0.0, -1.0, -0.3402203321456909, -1.0, -1.0, 0.0, 0.0]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1682285408032253826,,58109,,1682285408,30527679,"""joystick""","[-1.0, 0.0, -1.0, -0.3402203321456909, -1.0, -1.0, 0.0, 0.0]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1682285408077696591,,58110,,1682285408,75268107,"""joystick""","[-1.0, 0.0, -1.0, -0.3402203321456909, -1.0, -1.0, 0.0, 0.0]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1682285408107377922,,58111,,1682285408,105388511,"""joystick""","[-1.0, 0.0, -1.0, -0.3402203321456909, -1.0, -1.0, 0.0, 0.0]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1682285408133336302,,58112,,1682285408,131677100,"""joystick""","[-1.0, 0.0, -1.0, -0.3505356013774872, -1.0, -1.0, 0.0, 0.0]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1682285408168816843,,58113,,1682285408,167188136,"""joystick""","[-1.0, 0.0, -1.0, -0.3505356013774872, -1.0, -1.0, 0.0, 0.0]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
