,joystick,executed
289,"[0.0, 0.0]",[8.42341964376772e-05]
290,"[0.0, 0.0]",[0.0007320720960114816]
291,"[0.0, 0.0]",[-0.0004693466989851456]
292,"[0.0, 0.0]",[0.00030472373612164196]
293,"[0.0, 0.0]",[-0.0001453778051119491]
294,"[0.0, 0.0]",[0.0004721092811504669]
295,"[0.0, 0.0]",[0.00023758638580402295]
296,"[0.0, 0.0]",[-0.00018607566227658805]
297,"[0.0, 0.0]",[-0.00035283490547651826]
298,"[0.0, 0.0]",[-0.00015206468784824425]
299,"[0.0, 0.0]",[-0.00037657046325193145]
300,"[0.0, 0.0]",[1.223937696492648e-05]
