rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,orientation,x,y,z,w,orientation_covariance,angular_velocity,x,y,z,angular_velocity_covariance,linear_acceleration,x,y,z,linear_acceleration_covariance
1682479184535421640,,2700,,1682479184,534339809,"""vectornav""",,0.0018578460440039635,0.0016169066075235605,0.9425376653671265,-0.3340909481048584,"[4.547142078001505e-07, 0.0, 0.0, 0.0, 4.5427438697175784e-07, 0.0, 0.0, 0.0, 1.4896807225274943e-05]",,-0.0009777266532182693,-0.002337813377380371,0.0003953501582145691,"[0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01]",,-0.027179399505257607,-0.07048360258340836,-9.580081939697266,"[0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01]"
1682479184558294743,,2701,,1682479184,556984495,"""vectornav""",,0.0018504542531445622,0.0016163998516276479,0.942536473274231,-0.3340943157672882,"[4.5414888815526915e-07, 0.0, 0.0, 0.0, 4.5370960365099574e-07, 0.0, 0.0, 0.0, 1.4905043479577315e-05]",,0.0002933647483587265,-0.0007388144731521606,0.0003345608711242676,"[0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01]",,0.00258567463606596,-0.08542673289775848,-9.57116413116455,"[0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01]"
1682479184584179866,,2702,,1682479184,582092140,"""vectornav""",,0.0018532501999288797,0.0016161747043952346,0.9425343871116638,-0.33410030603408813,"[4.533195599083547e-07, 0.0, 0.0, 0.0, 4.528814643699436e-07, 0.0, 0.0, 0.0, 1.4913237818843655e-05]",,-0.0003273366019129753,-0.00040166545659303665,0.00040584243834018707,"[0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01]",,-0.04017317295074463,-0.08254358172416687,-9.597933769226074,"[0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01]"
1682479184609473496,,2703,,1682479184,607348235,"""vectornav""",,0.0018568818923085928,0.0016135979676619172,0.942533552646637,-0.3341025412082672,"[4.5213889307326415e-07, 0.0, 0.0, 0.0, 4.5170259210223003e-07, 0.0, 0.0, 0.0, 1.4921173209363363e-05]",,5.955761298537254e-05,0.00016416609287261963,0.00035931169986724854,"[0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01]",,-0.02333010733127594,-0.07871644198894501,-9.585816383361816,"[0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01]"
1682479184634877176,,2704,,1682479184,632235271,"""vectornav""",,0.001870427979156375,0.0016187295550480485,0.9425354599952698,-0.3340969979763031,"[4.506373338336451e-07, 0.0, 0.0, 0.0, 4.5020324139125765e-07, 0.0, 0.0, 0.0, 1.4928961988593085e-05]",,0.0006027007475495338,-0.001989130862057209,6.439164280891418e-05,"[0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01]",,-0.03184201940894127,-0.070404052734375,-9.5657377243042,"[0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01]"
1682479184659026543,,2705,,1682479184,657145123,"""vectornav""",,0.0018632238497957587,0.0016162332613021135,0.9425365924835205,-0.3340938985347748,"[4.4943540881472806e-07, 0.0, 0.0, 0.0, 4.490027671452367e-07, 0.0, 0.0, 0.0, 1.4936545742489091e-05]",,-6.782682612538338e-05,-0.0018592169508337975,-0.00038777850568294525,"[0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01]",,-0.029166627675294876,-0.04926488921046257,-9.589005470275879,"[0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01]"
1682479184683908331,,2706,,1682479184,682140800,"""vectornav""",,0.001874566893093288,0.0016146686393767595,0.9425374865531921,-0.3340912461280823,"[4.48394945857599e-07, 0.0, 0.0, 0.0, 4.47963675730741e-07, 0.0, 0.0, 0.0, 1.4944346575500642e-05]",,-0.000664460938423872,-0.0009974483400583267,0.0004247259348630905,"[0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01]",,-0.04515327885746956,-0.09458590298891068,-9.547992706298828,"[0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01]"
1682479184708921160,,2707,,1682479184,707212029,"""vectornav""",,0.0018695816397666931,0.0016152519965544343,0.9425361752510071,-0.33409515023231506,"[4.471744513118881e-07, 0.0, 0.0, 0.0, 4.467448985682855e-07, 0.0, 0.0, 0.0, 1.4951988540560924e-05]",,0.001074281521141529,-0.0010285386815667152,0.0005166679620742798,"[0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01]",,-0.031565289944410324,-0.09190618246793747,-9.637422561645508,"[0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01]"
1682479184733593795,,2708,,1682479184,732093913,"""vectornav""",,0.0018610908882692456,0.0016204632120206952,0.9425373077392578,-0.33409184217453003,"[4.4570469154344347e-07, 0.0, 0.0, 0.0, 4.4527740737738737e-07, 0.0, 0.0, 0.0, 1.4959904055218139e-05]",,0.0009552175179123878,0.0024687261320650578,-0.0005945656448602676,"[0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01]",,-0.010476257652044296,-0.07528145611286163,-9.585920333862305,"[0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01]"
1682479184759404389,,2709,,1682479184,757085430,"""vectornav""",,0.0018665912793949246,0.0016292175278067589,0.9425359964370728,-0.3340955674648285,"[4.437926656592988e-07, 0.0, 0.0, 0.0, 4.4336855044497284e-07, 0.0, 0.0, 0.0, 1.4967706959948916e-05]",,-0.0005333973094820976,-0.0018593547865748405,-0.0004572700709104538,"[0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01]",,-0.01355934701859951,-0.07028703391551971,-9.616252899169922,"[0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01]"
1682479184784012927,,2710,,1682479184,782151187,"""vectornav""",,0.0018542507896199822,0.0016321392031386495,0.9425367116928101,-0.3340936303138733,"[4.416880309718862e-07, 0.0, 0.0, 0.0, 4.4126725513620573e-07, 0.0, 0.0, 0.0, 1.4975415280919737e-05]",,0.0002541933208703995,0.0007591843605041504,-0.0005486942827701569,"[0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01]",,-0.04742995649576187,-0.09374524652957916,-9.576133728027344,"[0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01]"
1682479184808899387,,2711,,1682479184,807166960,"""vectornav""",,0.0018649328267201781,0.0016368166543543339,0.9425361752510071,-0.3340950310230255,"[4.3965245986852527e-07, 0.0, 0.0, 0.0, 4.392349818888303e-07, 0.0, 0.0, 0.0, 1.4982962501821283e-05]",,0.0015825475566089153,-0.0009694378823041916,-0.0006878916174173355,"[0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01]",,-0.029230518266558647,-0.07655727863311768,-9.583945274353027,"[0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01]"
1682479184835828740,,2712,,1682479184,832086573,"""vectornav""",,0.0018607586389407516,0.001633592532016337,0.9425351023674011,-0.3340981900691986,"[4.374155022723796e-07, 0.0, 0.0, 0.0, 4.370019247251183e-07, 0.0, 0.0, 0.0, 1.4990761347421592e-05]",,0.0014998936094343662,0.000725580845028162,-0.0005380641669034958,"[0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01]",,-0.030967077240347862,-0.0953621119260788,-9.560688018798828,"[0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01]"
