,joystick,executed
177,"[1.0, 0.0]",[0.055080158929611656]
178,"[1.0, 0.0]",[-0.012491580156052312]
179,"[0.95811309962024, 0.0]",[0.016032848532383365]
180,"[0.5433350272873902, 0.0]",[0.021914018397240137]
181,"[0.0799616160900796, 0.0]",[-0.009013136275348292]
182,"[0.0, 0.0]",[0.009036531596998505]
183,"[0.0, 0.0]",[-0.0002714554408945897]
184,"[0.0, 0.0]",[-0.002660153324930744]
185,"[0.0, 0.0]",[-0.001881582769803346]
186,"[0.0, 0.0]",[-0.000669110276934031]
187,"[0.0, 0.0]",[0.0026589153009082375]
188,"[0.0, 0.0]",[0.00011477096512677681]
189,"[0.0, 0.0]",[-0.0010818287509419848]
190,"[0.0, 0.0]",[0.0015939136639194695]
191,"[0.0, 0.0]",[0.0009831808397489945]
192,"[0.0, 0.0]",[-8.661652429640035e-06]
193,"[0.0, 0.0]",[-0.0010828700644592197]
194,"[0.0, 0.0]",[0.0008884542338980696]
195,"[0.0, 0.0]",[-0.00011709208812815429]
196,"[0.0, 0.0]",[0.0002398408132007731]
197,"[0.0, 0.0]",[-0.0011465844700096848]
198,"[0.0, 0.0]",[0.00020650895462790222]
199,"[0.0, 0.0]",[-0.00021471319641996984]
200,"[0.0, 0.0]",[0.00030452275207635854]
