,joystick,executed
108,"[4.073935772964899, 1.381595002454416]",[0.8340490118702716]
109,"[4.073935772964899, 0.0]",[0.8265689467097236]
110,"[4.073935772964899, 0.0]",[0.8514476449274002]
111,"[4.073935772964899, 0.0]",[0.8475632695558503]
112,"[4.073935772964899, 0.0]",[0.8542420564855014]
113,"[4.073935772964899, 0.0]",[0.875151459194112]
114,"[4.073935772964899, 0.0]",[0.8355899212944549]
115,"[4.073935772964899, 0.0]",[0.8472304254178]
116,"[4.073935772964899, 0.0]",[0.8494026220778493]
117,"[4.073935772964899, 0.0]",[0.8405431024163115]
118,"[4.073935772964899, 0.0]",[0.9791196618464051]
119,"[4.073935772964899, 0.0]",[1.0545767604196477]
120,"[4.073935772964899, 0.0]",[1.2564493538061132]
121,"[4.073935772964899, 0.0]",[1.0491870490391453]
122,"[4.073935772964899, 0.0]",[0.5889390522839599]
123,"[4.073935772964899, 0.0]",[0.29294525429871643]
124,"[4.073935772964899, 0.0]",[0.1868586927508348]
125,"[4.073935772964899, 0.0]",[0.1399915538702532]
126,"[4.073935772964899, 0.0]",[0.08298964941462048]
127,"[4.073935772964899, 0.0]",[0.16345104087477408]
128,"[4.073935772964899, 0.0]",[0.19854716157865626]
129,"[4.073935772964899, 0.0]",[0.11506538312194105]
130,"[4.073935772964899, 0.0]",[0.07590987914295964]
131,"[4.073935772964899, 0.0]",[0.08392514187875201]
132,"[4.073935772964899, 0.0]",[0.06145223965533069]
133,"[4.073935772964899, 0.0]",[0.05124546494659179]
134,"[4.073935772964899, 0.0]",[0.03225756966338331]
135,"[4.073935772964899, 0.0]",[0.053887950138464404]
136,"[4.073935772964899, 0.0]",[0.09131589065720039]
137,"[4.073935772964899, 0.0]",[0.1004751867657033]
138,"[4.073935772964899, 0.0]",[0.09523602752284906]
139,"[4.073935772964899, 0.0]",[0.08341763045108948]
140,"[4.073935772964899, 0.0]",[0.38481756618092033]
141,"[4.073935772964899, 0.0]",[1.244229681431386]
142,"[4.073935772964899, 0.0]",[1.5057398002073894]
143,"[4.073935772964899, 1.76735483944116]",[1.6758113657876026]
144,"[4.073935772964899, 3.210637614814706]",[1.580758581837594]
145,"[4.073935772964899, 3.210637614814706]",[1.6341072485725203]
146,"[4.073935772964899, 3.210637614814706]",[1.5862705769478596]
147,"[4.073935772964899, 3.210637614814706]",[1.3764393817096707]
148,"[4.073935772964899, 3.210637614814706]",[1.3039164096365021]
149,"[4.073935772964899, 3.210637614814706]",[1.2664130365627997]
150,"[4.073935772964899, 3.210637614814706]",[1.1287639860645535]
151,"[4.073935772964899, 3.210637614814706]",[1.214811526507106]
152,"[4.073935772964899, 3.210637614814706]",[1.4449789014625993]
153,"[4.073935772964899, 3.210637614814706]",[1.746421703475279]
154,"[4.073935772964899, 3.210637614814706]",[1.93422061572028]
155,"[4.073935772964899, 3.210637614814706]",[1.934216209950613]
156,"[4.073935772964899, 3.210637614814706]",[1.84902986094845]
157,"[4.073935772964899, 3.210637614814706]",[1.863785260209942]
158,"[4.073935772964899, 3.210637614814706]",[1.7608488170181484]
