,joystick,executed
0,"[0.30000000000000004, 0.23642770483429287]",[0.7787039279937744]
1,"[0.30000000000000004, 0.23642770483429287]",[0.7787039279937744]
2,"[0.30000000000000004, 0.23642770483429287]",[0.7787039279937744]
3,"[0.30000000000000004, 0.23642770483429287]",[0.7787039279937744]
4,"[0.30000000000000004, 0.23642770483429287]",[0.7787039279937744]
5,"[0.30000000000000004, 0.23642770483429287]",[0.8831866481400119]
6,"[0.30000000000000004, 0.23642770483429287]",[0.949364383540561]
7,"[0.30000000000000004, 0.23642770483429287]",[0.966642510816884]
8,"[0.30000000000000004, 0.23642770483429287]",[0.9550144980418458]
9,"[0.4514313614170548, 0.35576960223351467]",[0.9669556926575279]
10,"[0.9025272248817223, 0.7112748010974976]",[0.935474241020699]
11,"[1.0, 0.7880923494476428]",[0.9626038805466519]
12,"[1.0, 0.7880923494476428]",[0.9576151628663243]
13,"[1.0, 0.7880923494476428]",[0.9620174154237326]
14,"[1.0, 0.7880923494476428]",[0.9627425388940947]
15,"[1.0, 0.7880923494476428]",[0.9478481720248967]
16,"[1.0, 0.7880923494476428]",[0.9254070196818346]
17,"[1.0, 0.7880923494476428]",[0.9578166645856976]
18,"[1.0, 0.7880923494476428]",[0.9263938205682917]
19,"[1.0, 0.7880923494476428]",[0.9515402500841241]
20,"[1.0, 0.7880923494476428]",[0.927775905197034]
21,"[1.0, 0.7880923494476428]",[0.9137054482500666]
22,"[1.0, 0.7880923494476428]",[0.9623129709439214]
23,"[1.0, 0.7880923494476428]",[1.1493115393297213]
24,"[1.2978912963484075, 1.0228582010668632]",[1.1614678509296477]
25,"[1.7293893614320175, 1.3629185249607172]",[1.3653194054325555]
26,"[2.1463836203879856, 1.691548510207505]",[1.5278044044802495]
27,"[2.6420662889518423, 2.082192229056472]",[1.6336011643034212]
28,"[3.118716071185981, 2.457836275801082]",[1.7603190436231182]
29,"[3.495854666375441, 2.755056317351327]",[1.8108785996413763]
30,"[3.948321485565065, 3.1116419559335795]",[1.8043221364457478]
31,"[4.219686714368594, 3.3255028166597493]",[1.9638494660721244]
32,"[4.219686714368594, 3.3255028166597493]",[1.9289830673912172]
33,"[4.219686714368594, 3.3255028166597493]",[1.862449086109824]
34,"[4.219686714368594, 3.3255028166597493]",[1.606212821833614]
35,"[4.219686714368594, 3.3255028166597493]",[1.5382176231077416]
36,"[4.219686714368594, 3.3255028166597493]",[1.4564138547180316]
37,"[4.219686714368594, 3.3255028166597493]",[1.4016009689241329]
38,"[4.219686714368594, 3.3255028166597493]",[1.2018929633523823]
39,"[4.219686714368594, 3.3255028166597493]",[1.060374859947861]
40,"[4.219686714368594, 3.3255028166597493]",[1.1038546484130243]
41,"[4.219686714368594, 3.3255028166597493]",[0.9252536356105173]
42,"[4.219686714368594, 3.3255028166597493]",[0.9263109894902763]
43,"[4.219686714368594, 3.3255028166597493]",[1.0655928769694842]
44,"[4.219686714368594, 3.3255028166597493]",[0.9897144820515634]
45,"[4.219686714368594, 3.3255028166597493]",[1.1794913665875528]
46,"[4.219686714368594, 3.3255028166597493]",[1.3561247320511804]
47,"[4.219686714368594, 3.3255028166597493]",[1.3341206114378215]
48,"[4.219686714368594, 3.3255028166597493]",[1.374854399917871]
49,"[4.219686714368594, 3.3255028166597493]",[1.4793043585277745]
50,"[4.205344258001131, 3.314199636524265]",[1.3238103674304207]
51,"[3.9174458507169634, 3.0873091043254517]",[1.6806212805834984]
52,"[3.463922707105868, 2.7298909845481023]",[2.0254047488860736]
53,"[3.0176136651558214, 2.3781582430979635]",[1.7768779610108858]
54,"[2.6108013069277183, 2.057552535917642]",[1.5474284805544254]
55,"[3.0857758434021925, 2.431876334295615]",[1.3981473781783664]
56,"[3.5364853215534096, 2.787077025850129]",[1.3405876213220156]
57,"[3.9853159369975684, 3.140797000079548]",[1.2358496811186819]
58,"[4.219686714368594, 3.3255028166597493]",[1.0174002922828667]
59,"[4.219686714368594, 3.3255028166597493]",[0.9595231430946185]
60,"[4.219686714368594, 3.3255028166597493]",[0.956116301498495]
61,"[4.219686714368594, 3.3255028166597493]",[1.0084978518104903]
62,"[4.219686714368594, 3.3255028166597493]",[1.1548210138715884]
63,"[4.219686714368594, 3.3255028166597493]",[1.2750214607357653]
64,"[4.063785708170428, 3.2026384264037855]",[1.4375717492095315]
65,"[3.6162628287306915, 2.8499490689145492]",[1.712383955112513]
66,"[3.1676975214836123, 2.4964381820454946]",[1.9892845839711653]
67,"[2.7300816380565736, 2.1515564523198742]",[2.0871864477261615]
68,"[2.2639276437847853, 1.7841840557698174]",[2.159280045919414]
69,"[1.815844963883148, 1.43105352381934]",[2.123404076603437]
70,"[1.3922523415198074, 1.0972234188523269]",[2.098991619002567]
71,"[1.0401448992399414, 0.8197302374079871]",[2.059775836750995]
72,"[1.0, 0.7880923494476428]",[1.941929784855217]
73,"[1.0, 0.7880923494476428]",[1.819154334713187]
74,"[1.0, 0.7880923494476428]",[1.6643104389301926]
75,"[1.0, 0.7880923494476428]",[1.578099777620648]
76,"[1.0, 0.7880923494476428]",[1.3545103520570527]
77,"[1.1424569400466271, 0.9003615740241113]",[0.9648290714364052]
78,"[1.5655433983286942, 1.2337927749511073]",[1.0181847533165593]
79,"[2.0843962693649805, 1.642696753103749]",[1.149556421961343]
80,"[2.5265280361413764, 1.9911374159479964]",[1.3619604039935067]
81,"[2.6280542667606133, 2.0711494615672743]",[1.286514786675321]
82,"[2.1690699133378026, 1.7094274041185837]",[1.1247073391095583]
83,"[1.724900743331873, 1.3593810793764012]",[0.990650916600336]
84,"[1.3021942866352376, 1.0262493547916618]",[0.8899179597380925]
85,"[1.0, 0.7880923494476428]",[0.8955213957696837]
86,"[1.0, 0.7880923494476428]",[0.8432851184306093]
87,"[1.0, 0.7880923494476428]",[0.83430687057223]
88,"[1.0, 0.7880923494476428]",[0.8042645910241397]
89,"[1.0, 0.7880923494476428]",[0.7981788006408301]
90,"[1.0, 0.7880923494476428]",[0.831517970875483]
