,joystick,executed
0,"[0.0, -0.0]",[-0.0008854698389768]
1,"[0.0, -0.0]",[-0.0008854698389768]
2,"[0.0, -0.0]",[-0.0008854698389768]
3,"[0.0, -0.0]",[-0.0008854698389768]
4,"[0.0, -0.0]",[-0.0008854698389768]
5,"[0.0, -0.0]",[-0.0008854698389768]
6,"[0.0, -0.0]",[-0.0008854698389768]
7,"[0.0, -0.0]",[-0.0008854698389768]
8,"[0.0, -0.0]",[-0.0008854698389768]
9,"[0.0, -0.0]",[-0.0008854698389768]
10,"[0.0, -0.0]",[-0.0008854698389768]
11,"[0.0, -0.0]",[-0.0008854698389768]
12,"[0.0, -0.0]",[-0.000800444859235332]
13,"[0.0, -0.0]",[9.916333669274625e-05]
14,"[0.0, -0.0]",[-0.00036126907888427547]
15,"[0.0, -0.0]",[-0.00104642031676055]
16,"[0.0, 0.0]",[-0.001554918716032894]
17,"[0.0, 0.0]",[-0.00021044354934915085]
18,"[0.0, 0.0]",[-5.0273510812931516e-05]
19,"[0.0, 0.0]",[-0.002484923622304065]
20,"[0.0, 0.0]",[0.00019983536685955815]
21,"[0.0, 0.0]",[-0.0010731057566286182]
22,"[0.0, 0.0]",[0.0005366399469797787]
23,"[0.0, 0.0]",[-0.00017765821318604193]
24,"[0.0, 0.0]",[0.0002817293383802804]
25,"[0.0, 0.0]",[-0.00043598349473502565]
26,"[0.0, 0.0]",[0.00028489367629716403]
27,"[0.0, 0.0]",[0.0003920630340984951]
28,"[0.0, 0.0]",[0.0004731851142368875]
29,"[0.0, 0.0]",[0.0010727621530741463]
30,"[0.1959249079153823, 0.0]",[0.002475619506949171]
31,"[0.8173441197986149, 0.0]",[-0.0006939120551534017]
32,"[1.0, 0.0]",[-0.0032308752050021873]
33,"[1.0, 0.0]",[-0.005049604306499071]
34,"[1.0, 0.0]",[0.00557790182710843]
35,"[1.0, 0.0]",[0.0012750716897771885]
36,"[1.0, 0.0]",[-0.003946242327598607]
37,"[1.0, 0.0]",[-0.009918568240545121]
38,"[1.0, 0.0]",[-0.008838812591668107]
39,"[1.0, 0.0]",[-0.026112435551994488]
40,"[1.0, 0.0]",[-0.026916856617493296]
41,"[1.0, 0.0]",[0.012356840370474265]
42,"[1.0, 0.0]",[-0.053783561055544396]
43,"[1.0, 0.0]",[-0.027074363223029904]
44,"[1.0, 0.0]",[-0.04110325981258779]
45,"[1.0, 0.0]",[-0.029239674870023415]
46,"[1.0, 0.0]",[-0.014088323255932258]
47,"[1.0, 0.0]",[-0.027498587872995344]
48,"[1.0, 0.0]",[-0.03141222915379846]
49,"[1.0, 0.0]",[-0.027400610552338344]
50,"[1.0, 0.0]",[-0.024015357740109662]
51,"[1.0, 0.0]",[-0.03649118372546218]
52,"[1.0, 0.0]",[-0.026134501369541024]
53,"[1.0, 0.0]",[-0.026751663875352133]
54,"[1.0, 0.0]",[-0.008344030879769678]
55,"[1.0, 0.0]",[-0.005696034369458576]
56,"[1.0, 0.0]",[-0.02591007565585463]
57,"[1.0, 0.0]",[-0.04330321859919066]
58,"[1.3735849799489643, 0.0]",[-0.0269518153946451]
59,"[1.827898030856826, 0.0]",[-0.06767661676183849]
60,"[2.0, 0.0]",[-0.0382824304606391]
61,"[2.0, 0.0]",[-0.008879245840513408]
62,"[2.0, 0.0]",[-0.04576004346111229]
63,"[2.0, 0.0]",[-0.04752527525001321]
64,"[2.0, 0.0]",[-0.032268007735350865]
65,"[2.0, 0.0]",[-0.15023716114871777]
66,"[2.0, -1.068581254619696]",[-0.9110525831376644]
67,"[2.0, -1.5761846988952857]",[-1.3097855542101557]
68,"[2.0, -1.5761846988952857]",[-1.4492442891363868]
69,"[2.0, -1.5761846988952857]",[-1.4677950804557627]
70,"[2.0, -1.5761846988952857]",[-1.474021534675611]
71,"[2.0, -1.5761846988952857]",[-1.4982488761766986]
72,"[2.0, -1.5761846988952857]",[-1.4884917880708115]
73,"[2.0, -1.5761846988952857]",[-1.4748057204349891]
74,"[2.0, -1.5761846988952857]",[-1.506382257170421]
75,"[2.0, -1.5761846988952857]",[-1.4780872694636131]
76,"[2.0, -1.5761846988952857]",[-1.4940531810339657]
77,"[2.0, -1.5761846988952857]",[-1.474014921953478]
78,"[2.0, -1.5761846988952857]",[-1.4916114047195999]
79,"[2.0, -1.5761846988952857]",[-1.5053763564416127]
80,"[2.0, -1.5761846988952857]",[-1.4787279695468316]
81,"[2.0, -1.5761846988952857]",[-1.4914340623377065]
82,"[2.0, -1.5761846988952857]",[-1.5044882805143278]
83,"[2.0, -1.5761846988952857]",[-1.4601462911201233]
84,"[2.0, -1.5761846988952857]",[-1.4903694704179788]
85,"[2.0, -1.5761846988952857]",[-1.4854539614309659]
86,"[2.0, -1.5761846988952857]",[-1.457114343967135]
87,"[2.0, -1.5761846988952857]",[-1.4942650196248715]
88,"[2.0, -1.5761846988952857]",[-1.4969752153873024]
89,"[2.0, -1.5761846988952857]",[-1.4518945059916961]
90,"[2.0, -1.5761846988952857]",[-1.4691537317208452]
91,"[2.0, -1.5761846988952857]",[-1.4761016899318204]
92,"[2.0, -1.5761846988952857]",[-1.4765089138367211]
93,"[2.0, -1.5761846988952857]",[-1.472069475205943]
