rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,axes,buttons
1682284964647090572,,44987,,1682284964,646388428,"""joystick""","[1.0, 0.1752372831106186, -1.0, -0.2371288239955902, -1.0, -1.0, 0.0, 0.0]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1682284964688303664,,44988,,1682284964,687714607,"""joystick""","[1.0, 0.15463729202747345, -1.0, -0.22681356966495514, -1.0, -1.0, 0.0, 0.0]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1682284964714679942,,44989,,1682284964,713884869,"""joystick""","[1.0, 0.15463729202747345, -1.0, -0.22681356966495514, -1.0, -1.0, 0.0, 0.0]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1682284964761011053,,44990,,1682284964,760220333,"""joystick""","[1.0, 0.13400676846504211, -1.0, -0.22681356966495514, -1.0, -1.0, 0.0, 0.0]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1682284964782693024,,44991,,1682284964,781701983,"""joystick""","[1.0, 0.13400676846504211, -1.0, -0.22681356966495514, -1.0, -1.0, 0.0, 0.0]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1682284964817401981,,44992,,1682284964,815354844,"""joystick""","[1.0, 0.12369152158498764, -1.0, -0.22681356966495514, -1.0, -1.0, 0.0, 0.0]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1682284964864730950,,44993,,1682284964,862895428,"""joystick""","[1.0, 0.11337625980377197, -1.0, -0.22681356966495514, -1.0, -1.0, 0.0, 0.0]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1682284964890814876,,44994,,1682284964,887950970,"""joystick""","[1.0, 0.11337625980377197, -1.0, -0.22681356966495514, -1.0, -1.0, 0.0, 0.0]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1682284964918862900,,44995,,1682284964,916759666,"""joystick""","[1.0, 0.11337625980377197, -1.0, -0.2371288239955902, -1.0, -1.0, 0.0, 0.0]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1682284964955303635,,44996,,1682284964,953092401,"""joystick""","[1.0, 0.1030915230512619, -1.0, -0.2371288239955902, -1.0, -1.0, 0.0, 0.0]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1682284964991888402,,44997,,1682284964,990471537,"""joystick""","[1.0, 0.08246101438999176, -1.0, -0.22681356966495514, -1.0, -1.0, 0.0, 0.0]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1682284965017625096,,44998,,1682284965,15866918,"""joystick""","[1.0, 0.08246101438999176, -1.0, -0.22681356966495514, -1.0, -1.0, 0.0, 0.0]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1682284965050132739,,44999,,1682284965,49111811,"""joystick""","[1.0, 0.07214576005935669, -1.0, -0.2371288239955902, -1.0, -1.0, 0.0, 0.0]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1682284965083643328,,45000,,1682284965,81732030,"""joystick""","[1.0, 0.07214576005935669, -1.0, -0.2371288239955902, -1.0, -1.0, 0.0, 0.0]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1682284965123762754,,45001,,1682284965,122776225,"""joystick""","[1.0, 0.07214576005935669, -1.0, -0.2371288239955902, -1.0, -1.0, 0.0, 0.0]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1682284965157962431,,45002,,1682284965,156947198,"""joystick""","[1.0, 0.07214576005935669, -1.0, -0.22681356966495514, -1.0, -1.0, 0.0, 0.0]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1682284965199011362,,45003,,1682284965,197857345,"""joystick""","[1.0, 0.08246101438999176, -1.0, -0.2371288239955902, -1.0, -1.0, 0.0, 0.0]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1682284965217819282,,45004,,1682284965,215798608,"""joystick""","[1.0, 0.08246101438999176, -1.0, -0.22681356966495514, -1.0, -1.0, 0.0, 0.0]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1682284965246833450,,45005,,1682284965,245934378,"""joystick""","[1.0, 0.09277626872062683, -1.0, -0.2371288239955902, -1.0, -1.0, 0.0, 0.0]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1682284965287141965,,45006,,1682284965,285728779,"""joystick""","[1.0, 0.09277626872062683, -1.0, -0.22681356966495514, -1.0, -1.0, 0.0, 0.0]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1682284965328887984,,45007,,1682284965,327853391,"""joystick""","[1.0, 0.1030915230512619, -1.0, -0.2371288239955902, -1.0, -1.0, 0.0, 0.0]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1682284965348833665,,45008,,1682284965,347876832,"""joystick""","[1.0, 0.1030915230512619, -1.0, -0.2371288239955902, -1.0, -1.0, 0.0, 0.0]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1682284965398877707,,45009,,1682284965,397838923,"""joystick""","[1.0, 0.15463729202747345, -1.0, -0.2371288239955902, -1.0, -1.0, 0.0, 0.0]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1682284965429094597,,45010,,1682284965,428150852,"""joystick""","[1.0, 0.2061830461025238, -1.0, -0.2371288239955902, -1.0, -1.0, 0.0, 0.0]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1682284965450147351,,45011,,1682284965,449210006,"""joystick""","[1.0, 0.2370983064174652, -1.0, -0.2371288239955902, -1.0, -1.0, 0.0, 0.0]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1682284965482542130,,45012,,1682284965,480542705,"""joystick""","[1.0, 0.26804405450820923, -1.0, -0.22681356966495514, -1.0, -1.0, 0.0, 0.0]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1682284965518940817,,45013,,1682284965,517825680,"""joystick""","[1.0, 0.4123660922050476, -1.0, -0.2371288239955902, -1.0, -1.0, 0.0, 0.0]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1682284965556019505,,45014,,1682284965,554334575,"""joystick""","[1.0, 0.43299660086631775, -1.0, -0.22681356966495514, -1.0, -1.0, 0.0, 0.0]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1682284965628827567,,45015,,1682284965,627836206,"""joystick""","[1.0, 0.46391186118125916, -1.0, -0.2371288239955902, -1.0, -1.0, 0.0, 0.0]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1682284965659036520,,45016,,1682284965,657875111,"""joystick""","[1.0, 0.46391186118125916, -1.0, -0.2371288239955902, -1.0, -1.0, 0.0, 0.0]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1682284965681488251,,45017,,1682284965,680331994,"""joystick""","[1.0, 0.46391186118125916, -1.0, -0.22681356966495514, -1.0, -1.0, 0.0, 0.0]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
